"Reference ID","Box Number","Site Name","Street","City","County","Program","Latitude","Longitude","All Programs for Site","Covenant","RCRA Hazardous Waste Sites"
"2375","2011BAZ66","A & B IRRIGATION DIST WELL 7B824","850 N 125 W","RUPERT","Minidoka","RCRA Hazardous Waste Sites","42.742096","-113.690865","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2402","2011BAZ113","ABLE CLEANUP TECHNOLOGIES INC","8749 W HACKAMORE DR STE 4","BOISE","Ada","RCRA Hazardous Waste Sites","43.594217","-116.290949","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2403","2011BAZ114","ABSOLUTE FINISH INC","1708 6TH AVE N","LEWISTON","Nez Perce","RCRA Hazardous Waste Sites","46.426556","-117.008397","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2404","2011BAZ116","ACB TRUCKING","4503 S 5TH","POCATELLO","Bannock","RCRA Hazardous Waste Sites","42.833441","-112.402803","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2405","2011BAZ117","ACCENT OPTICAL","1039 21ST ST","LEWISTON","Nez Perce","RCRA Hazardous Waste Sites","46.410176","-117.001897","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2406","2011BAZ118","ACCURA BULLETS LLC","2316 E RAILROAD ST","NAMPA","Canyon","RCRA Hazardous Waste Sites","43.569517","-116.541598","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2408","2011BAZ120","ACECO PRECISION MFG INC","4419 S FEDERAL WAY","BOISE","Ada","RCRA Hazardous Waste Sites","43.562451","-116.172579","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2409","2011BAZ121","ACECO SEMICONDUCTOR","4095 S GEKELER LN","BOISE","Ada","RCRA Hazardous Waste Sites","43.565243","-116.184132","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2407","2011BAZ119","ACE QUALITY FLOOR COVERING","262 N ALLUMBAUGH ST 120","BOISE","Ada","RCRA Hazardous Waste Sites","43.606556","-116.266252","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2410","2011BAZ123","ACME MTLS & CONS CO RATHDRUM","8805 W WYOMING","RATHDRUM","Kootenai","RCRA Hazardous Waste Sites","47.773785","-116.895135","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2411","2011BAZ124","ACON LLC","792 CYPRESS","POCATELLO","Bannock","RCRA Hazardous Waste Sites","42.883921","-112.46552","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2377","2011BAZ72","A COOL UNIT","3650 W ELK DR","POST FALLS","Kootenai","RCRA Hazardous Waste Sites","47.717692","-116.996816","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2412","2011BAZ125","ACTION TRAILER","3777 W CHINDEN BLVD","GARDEN CITY","Ada","RCRA Hazardous Waste Sites","43.626010","-116.244241","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2482","2011BAZ131","ADA CNTY HWY DIST ADAMS","3700 ADAMS ST","GARDEN CITY","Ada","RCRA Hazardous Waste Sites","43.62904","-116.23817","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2413","2011BAZ132","ADA CNTY HWY DIST ANDERSON","3611-3617 ANDERSON ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.640755","-116.234233","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"112721","2011BAZ132","ADA CNTY HWY DIST ANDERSON","3611-3617 ANDERSON ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.640755","-116.234233","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2414","2011BAZ134","ADA CNTY HWY DIST E 37TH","318 E 37TH ST","GARDEN CITY","Ada","RCRA Hazardous Waste Sites","43.629565","-116.238158","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2483","2011BAZ135","ADA CNTY HWY DIST GROVE","1101 GROVE ST","BOISE","Ada","RCRA Hazardous Waste Sites","43.61659","-116.2083","Leaking Underground Storage Tanks, RCRA Hazardous Waste Site, Underground Storage Tanks","","RCRA Hazardous Waste Sites"
"2415","2011BAZ136","ADA CNTY HWY DIST HILL","8441 HILL RD","BOISE","Ada","RCRA Hazardous Waste Sites","43.687905","-116.291328","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2416","2011BAZ137","ADA CNTY HWY DIST LINCOLN ST","1200 LINCOLN AVE","BOISE","Ada","RCRA Hazardous Waste Sites","43.598238","-116.201937","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
"2417","2011BAZ138","ADA CNTY HWY DIST MERIDIAN RD","N MERIDIAN RD (300 S of Broadway, eastside)","MERIDIAN","Ada","RCRA Hazardous Waste Sites","43.609348","-116.393505","RCRA Hazardous Waste Site","","RCRA Hazardous Waste Sites"
